,a_true,a_estimate,lambda_true,lambda_estimate,delta_true,delta_estimate,sigma_true,sigma_estimate,ndt_true,ndt_estimate,mu_z,std_z,corr,sig_to_var
28,3.0081791293842435,3.2827561548073936,1.6258365675839357,1.768596083725265,1.4748409850289432,1.401385721749416,0.22881115710310357,0.22784312969549797,0.8131498659659981,0.8131498655980975,2.837580147628551,0.2277701621105249,ndt,1.000320356205997
29,2.5991190493790652,1.5,1.635924334880806,1.274810663459033,0.832769477651407,0.9857763501364353,0.6172152378833409,1.7966979073586606,0.795963142254361,0.9742685148564763,2.6305012868903646,0.6393430795604065,noise,2.81022500250416
30,1.5015003138602434,1.8386587411350512,1.5681391167092658,1.8815587759882937,1.912728024817028,2.012519416496127,0.3745408434492917,0.36684927444066895,0.6174317451356323,0.6089204024832868,0.06436516700826891,0.36678973535638987,ndt,1.0001623248377471
31,2.5777554975466836,1.5,0.9750130893884601,0.5833573544420843,2.6682271504377044,3.0,0.10250402659769711,0.7148204334844521,0.8260606273931822,0.9971170585151299,1.7069735561321475,0.10510591040169756,noise,6.800953730884644
32,2.08527725071827,1.8562822525800091,1.4442843554196338,1.1175367486488694,1.5041918132271606,1.6167592744655415,0.5817103424769793,0.5745431796800216,0.1428173362980777,0.15381702702347305,2.8887849664557503,0.5745528662296367,ndt,0.9999831407165737
33,1.936484387264366,1.9168669426551728,1.488615817691867,1.474594147406572,0.4834434036753559,0.47257420069917,0.9884063168004888,0.9643933031506533,0.7228067031118226,0.7338066057951097,2.6004798546272605,0.9643685672877684,ndt,1.0000256498020819
34,2.8419013864727365,1.5,0.6669614256015659,0.27044426136585115,2.022418394667725,2.3232539690329856,0.6399498766503371,0.8959942204646112,0.6273649838115454,0.8912500524770931,1.5608889272530007,0.6232638344132078,noise,1.4375841673986658
35,2.987024365741828,3.3056259832911508,0.559531314631524,0.5335447769491681,2.2922629953596045,2.3293646081909696,0.6203810952524798,0.6370928573130727,0.2400727632153054,0.19607277798643402,1.753886956789054,0.6371186400806459,ndt,0.9999595322347343
36,3.1627867275101513,1.9559320444000858,0.5709041403761713,0.3806700497682088,1.0837853084001967,1.1583312029857042,0.25090942876605515,2.4216208781347026,0.15062534796645308,0.40299833483692055,2.8022421914397873,0.23403878672743314,noise,10.34709208672739
37,2.3142082480183985,2.0678798018489815,1.8471655193485783,1.6540226223700047,1.3736629913575906,1.530439994597108,0.7554344186837214,0.762390053549413,0.6852802084890087,0.7202803777634146,2.5927643682772175,0.7623029140878673,ndt,1.0001143108073383
