,b0_true,b0_estimate,lambda_true,lambda_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,sigma_true,sigma_estimate,mu_z,std_z,index,corr,sig_to_var
32,2.67088931160846,2.728256636594984,0.7054540017877293,0.6846550105433461,0.9955588936060845,0.9860888467330196,-0.6250997469275867,-0.6365658345827565,-0.009212204739176943,-0.008975765994219157,0.17797918440144242,0.17694738955304906,1.772509219617617,0.17693483903730506,1.0146013500388475,ndt,1.0000709329819515
33,4.131717151721919,4.626058337613782,1.9250816863006945,2.0,0.38544006201460973,0.38482736755432545,-1.293048701863594,-1.3621874533096583,2.6744989167603586,2.9134935405836613,0.10912074972112035,0.10808238478018675,2.3752839056402015,0.10807547833045265,1.046133119380913,ndt,1.0000639039478778
34,3.1765857881391795,3.571573143024471,1.3738992675985673,1.4741990004247525,0.3835849259348771,0.3632112882072536,-0.5572290002272975,-0.6589853498627966,-1.0508071990964298,-1.0036863083006797,0.7932041068608164,0.7559470167162137,2.4641986494387536,0.7556175438942988,1.0280747509918446,ndt,1.0004360311967042
35,4.413114514953865,4.442034459976682,0.275147534215611,0.28236327703144115,0.1186069077810816,0.14328256492702968,1.0058412415185753,1.0259825595333907,2.176479723186759,2.199365046153022,0.29914889615090895,0.3028387060461704,1.3714136860553534,0.30283863243054443,1.0432828185337062,ndt,1.0000002430853203
36,4.198710096687527,4.827378502562042,1.6273219642106975,1.9834313957116125,0.7675989595449478,0.7982401514550153,-2.8338117219170345,-3.0,0.1812102567658933,0.22038055175823928,0.8608751188053021,0.8375022133775534,1.268386602643095,0.8371962686291322,1.0075743275252826,ndt,1.0003654396942334
37,3.9004786128501427,2.0,1.137752101230832,0.9136852027956317,0.6105430340273137,0.9242547185933951,-0.6836609971913012,-0.9086829430557193,0.9811974895772582,1.1609846116403943,0.09675708960220736,0.463283972317459,1.3693461695136098,0.09740491289331671,5.501636140522944,noise,4.756269047998363
38,3.3795211137768293,3.6616838382575914,0.5647709405619575,0.6844378535004518,0.2422952588366021,0.2551085918993724,-2.82625031473635,-2.8294484521806016,-0.3304619749233988,-0.30435937562568816,0.6080466753371218,0.590466660831244,1.0845154300101028,0.5902942427918741,1.0514840775961558,ndt,1.000292088295753
39,3.322112886962988,2.8722516643073597,1.9290540173441488,2.0,0.7020185918169554,0.7642000011804391,1.5063678091386488,1.7512930794729547,-2.524281140088031,-2.864390008756083,0.8058479297183742,0.775817972432778,2.7970303635032137,0.774734592856791,1.0015841681016138,ndt,1.0013983880234287
40,4.547438633585606,4.999973567409537,1.362340103955899,1.4184399393373899,0.3264379093113062,0.31543802838480256,1.5582087987246238,1.5551093183991098,0.3593251812221032,0.4090060911453829,0.9630718058244897,0.9723053281276768,1.8417474320983085,0.9690723262438367,1.0548047434415835,ndt,1.003336182239742
41,3.9189638021707642,4.352644154274099,1.84683889297673,2.0,0.8720812277702078,0.8837851448667575,-2.7905507106187075,-2.9229335798979785,0.27069934374091376,0.38656198633812167,0.9725413380907307,0.9848293636696124,2.9304650457109997,0.9848288006997554,1.0486270097271222,ndt,1.000000571642357
