,True_model,G2_ddm,G2_ct_ddm,BIC_ddm,BIC_ct_ddm,lambda,Best_model
89,DDM,1494.7980335045995,1494.7226704924988,1519.6564658982886,1519.5811028861876,0.0,DDM
90,CTDDM,1217.577424720907,955.7350879263468,1242.4358571145958,980.5935203200356,0.9803637149182084,CTDDM
91,DDM,2131.767191163483,2139.353271614943,2156.625623557172,2164.211704008632,0.0123448489701033,DDM
92,CTDDM,882.0861920150187,435.978955481129,906.9446244087076,460.83738787481775,1.8285209258903163,CTDDM
93,DDM,3236.728735448424,3242.5331513951396,3261.5871678421126,3267.3915837888285,0.0,DDM
94,CTDDM,1257.7432232770025,998.53336282946,1282.6016556706911,1023.3917952231488,1.724499065265951,CTDDM
95,DDM,1989.65874153675,1989.4502185164529,2014.5171739304387,2014.3086509101415,0.0084742469277857,DDM
96,CTDDM,1109.054960518904,1007.169821151778,1133.9133929125928,1032.028253545467,0.5648369367814949,CTDDM
97,DDM,3146.0352649978904,3148.2937613628255,3170.8936973915793,3173.1521937565144,0.0,DDM
98,CTDDM,1052.143379765867,837.542513123281,1077.0018121595558,862.4009455169697,1.4485083498782991,CTDDM
99,DDM,2491.8904641067465,2503.750531218388,2516.7488965004354,2528.608963612077,0.0030990572675345,DDM
100,CTDDM,1750.5674269595056,1621.070460664021,1775.4258593531945,1645.92889305771,0.7689139424535253,CTDDM
101,DDM,3905.3080386019487,3905.252586148791,3930.1664709956376,3930.11101854248,0.0005143575741753,DDM
102,CTDDM,1195.486244608262,1047.441977187976,1220.344677001951,1072.300409581665,0.8939559449204014,CTDDM
103,DDM,2543.891155524203,2571.119195942681,2568.749587917892,2595.9776283363694,0.0,DDM
104,CTDDM,1339.492770537638,839.4997038677787,1364.3512029313267,864.3581362614675,1.901347332539856,CTDDM
105,DDM,2928.074921693627,2956.892109100913,2952.933354087316,2981.7505414946017,0.0,DDM
106,CTDDM,1512.65408257843,1258.9620013999418,1537.5125149721189,1283.8204337936306,1.5447248702036012,CTDDM
107,DDM,2842.9902877959817,2875.5884714824347,2867.8487201896705,2900.4469038761235,0.0,DDM
108,CTDDM,1430.0060075454553,1071.433816603631,1454.8644399391442,1096.2922489973198,1.2735565846080634,CTDDM
109,DDM,2725.031158172804,2730.9311335800035,2749.889590566493,2755.7895659736923,0.0001668943019875,DDM
110,CTDDM,1514.3855133665452,1242.8810251741068,1539.243945760234,1267.7394575677956,1.567141584563912,CTDDM
111,DDM,1527.248382967442,1532.6877342411146,1552.1068153611309,1557.5461666348035,0.0049651445711072,DDM
112,CTDDM,1353.1770890899145,1099.7614747817497,1378.0355214836034,1124.6199071754384,2.0,CTDDM
113,DDM,2985.069258973977,2992.4516740328627,3009.927691367666,3017.3101064265516,0.0,DDM
114,CTDDM,1154.5326979840877,1025.330042479136,1179.3911303777766,1050.1884748728248,0.788146563898428,CTDDM
115,DDM,2217.5811786730646,2219.191914614925,2242.4396110667535,2244.0503470086137,0.0221119621636819,DDM
116,CTDDM,1288.205500660494,1142.9147811006485,1313.0639330541828,1167.7732134943371,0.8825796452007386,CTDDM
117,DDM,2717.176245662011,2720.990828822525,2742.0346780556997,2745.849261216214,0.0,DDM
118,CTDDM,1668.6626575729856,1405.3004721701573,1693.5210899666745,1430.158904563846,1.3358851758892072,CTDDM
119,DDM,3517.641799921263,3522.560815901128,3542.500232314952,3547.419248294817,0.0,DDM
120,CTDDM,2732.692137172489,2578.5194874128388,2757.5505695661777,2603.3779198065276,0.2404265460116328,CTDDM
121,DDM,2645.6573161721167,2658.682746757134,2670.5157485658056,2683.5411791508227,0.0010247017864659,DDM
122,CTDDM,1928.5570365646277,1716.278030529009,1953.4154689583163,1741.1364629226978,0.7649735377084109,CTDDM
123,DDM,2589.443976600019,2591.863874589945,2614.302408993708,2616.722306983634,0.0035177112218112,DDM
124,CTDDM,1441.0689595975252,1195.1077776922596,1465.927391991214,1219.9662100859484,0.892076333440017,CTDDM
125,DDM,2580.1544602386084,2593.7843332658877,2605.0128926322973,2618.6427656595765,0.0,DDM
126,CTDDM,1532.747738116089,1245.2445078564356,1557.606170509778,1270.1029402501244,1.7784948251904271,CTDDM
127,DDM,3574.805425570924,3577.208263177103,3599.663857964613,3602.066695570792,0.0,DDM
128,CTDDM,1595.119299315205,1404.8600740985066,1619.9777317088938,1429.7185064921955,1.4387410901129267,CTDDM
129,DDM,2697.791192476245,2726.207051642637,2722.649624869934,2751.065484036326,0.0,DDM
130,CTDDM,1724.0830574459003,1467.912737093916,1748.9414898395894,1492.7711694876048,1.4196530967567502,CTDDM
131,DDM,2864.673878995792,2904.0485688736144,2889.532311389481,2928.9070012673033,0.0,DDM
132,CTDDM,1175.9669301507404,944.9265240216548,1200.8253625444293,969.7849564153436,1.6931114612176787,CTDDM
133,DDM,2112.0479874610255,2111.8820444130592,2136.9064198547144,2136.740476806748,0.0,DDM
134,CTDDM,1867.8125104564133,1647.7118711051153,1892.6709428501024,1672.5703034988042,0.9777722980434728,CTDDM
135,DDM,2185.103304014872,2227.0956474730237,2209.9617364085607,2251.9540798667126,0.0046586065773008,DDM
136,CTDDM,1133.780086430194,912.7613055949456,1158.6385188238828,937.6197379886344,1.7916557292584443,CTDDM
137,DDM,2900.308523587077,2899.866970749652,2925.166955980766,2924.725403143341,0.0106925978123156,DDM
138,CTDDM,1083.3497706664818,886.4542880569012,1108.2082030601707,911.31272045059,1.033720157410403,CTDDM
139,DDM,1360.1467242734238,1377.4441549795386,1385.0051566671127,1402.3025873732274,0.0,DDM
140,CTDDM,1066.6856920095076,869.1531243900272,1091.5441244031963,894.011556783716,1.6945143191820582,CTDDM
141,DDM,3533.2431638164853,3538.347129198692,3558.101596210174,3563.205561592381,0.0013747751953029,DDM
142,CTDDM,1433.7522724752737,1098.527824644303,1458.6107048689626,1123.386257037992,1.5977067276265622,CTDDM
143,DDM,3652.158303129458,3651.906633978884,3677.016735523147,3676.765066372573,0.0,DDM
144,CTDDM,867.5072547693608,658.3533920753448,892.3656871630495,683.2118244690336,1.5832229778297626,CTDDM
145,DDM,3060.8684219810066,3142.007239534098,3085.726854374695,3166.865671927787,0.0,DDM
146,CTDDM,1915.6085382871772,1717.2114605952831,1940.466970680866,1742.069892988972,0.7654879120517877,CTDDM
147,DDM,3124.80790499615,3132.7952421089044,3149.666337389838,3157.6536745025933,0.0,DDM
148,CTDDM,1442.4739086638265,1371.3526421584434,1467.3323410575151,1396.2110745521322,0.4224984936785865,CTDDM
149,DDM,3041.850531507431,3043.5910622868223,3066.7089639011197,3068.449494680511,0.0,DDM
150,CTDDM,1014.2388414986726,829.0595800100773,1039.0972738923615,853.918012403766,1.4355156207372877,CTDDM
151,DDM,2012.6234231392689,2030.393067456258,2037.4818555329575,2055.251499849947,0.0242995759982757,DDM
152,CTDDM,1719.5445361004902,1567.1571628330569,1744.402968494179,1592.0155952267455,0.5129284244197131,CTDDM
153,DDM,3650.051382292512,3662.047508977572,3674.909814686201,3686.905941371261,0.0,DDM
154,CTDDM,1527.066161017202,1433.3741673749869,1551.924593410891,1458.2325997686758,0.3849788183788796,CTDDM
155,DDM,2762.0546254697674,2819.751266552009,2786.9130578634563,2844.609698945698,0.0,DDM
156,CTDDM,915.5171397251968,734.2426973994617,940.3755721188854,759.1011297931504,1.7386757276473332,CTDDM
157,DDM,2311.109596619374,2311.0328813426445,2335.9680290130627,2335.891313736334,0.0015695967319355,DDM
158,CTDDM,2138.78054898055,2006.7435917514872,2163.638981374239,2031.602024145176,0.3096385254840951,CTDDM
159,DDM,3849.731335376192,3858.700520237782,3874.589767769881,3883.55895263147,0.0,DDM
160,CTDDM,1583.81291999082,1442.435108400454,1608.671352384509,1467.293540794143,0.911829386550979,CTDDM
161,DDM,3209.866173040837,3209.6636572302796,3234.724605434526,3234.5220896239684,0.0,DDM
162,CTDDM,1005.6920733619568,901.068787197468,1030.5505057556454,925.9272195911568,1.1520182643599726,CTDDM
163,DDM,3244.7466535163853,3325.8075334281407,3269.605085910074,3350.6659658218296,0.0,DDM
164,CTDDM,1649.2848543833088,1594.5350705082003,1674.1432867769977,1619.3935029018892,0.2879646996582578,CTDDM
165,DDM,3007.7136542633925,3014.034318926426,3032.5720866570814,3038.8927513201147,0.0004862242823468,DDM
